tweet, location,sentiment,entities
When the internet reminds you that your word has never been your bond... 🏃🏿🏃🏿🏃🏿#Junketing #Buhari https://t.co/qv2aIpjREa,Pacific Time (US & Canada),0.30000001192092896,N/A
"Buhari is corrupt!
Rt if you support this tweet!",Not Available,-0.30000001192092896,N/A
RT if you didn't even know Buhari was in Nigeria https://t.co/XhNOs0360z,Not Available,-0.30000001192092896,N/A
"The level of Corruption under Buhari is in Top 4 position, and has booked a place in the Champions League. https://t.co/sRXXQU0In4",Not Available,0.0,N/A
"Buhari can travel out for medical care. His son can travel out too.

I am not saying anything o, but I know some will get the message.

I don’t want to talk too much and disappoint my people. I promised to be of good behaviour 🙂🙂",Not Available,0.30000001192092896,N/A
For someone that screams local content. Buhari couldn't invest in just one hospital just to treat himself locally. Says everything about his entire 3 years in charge,Belgrade,-0.10000000149011612,N/A
"N88 Billion misappropriated under Jonathan can fund NPOWER for one year - Osinbanjo

The N1.4 Trillion unappropriated fund spent by Buhari/Osinbanjo on subsidy in 2017 can fund  CAPEX for one year",Not Available,0.0,N/A
"Someone has failed the Commander In Chief test. That person is H.E Muhammadu Buhari, and deserves to go in 2019. Get your PVC!",Alaska,0.10000000149011612,N/A
"I’m heartbroken seeing on the news everyday how our fellow compatriots are being massacred, especially the most vulnerable amongst us. My sincere condolences to the families of the victims. 

Dear President Muhammadu Buhari, these are Nigerians and they deserve to live.",Not Available,0.0,N/A
.@MBuhari returning to #London to see doctor https://t.co/NAdrTE6oFf via @thecableng https://t.co/ikI1CGd4fH,Not Available,0.0,N/A
The only reason the IG of Police still remains in office is simply because of the role he played in Buhari’s 1.9million Kano padded votes in 2015!,Not Available,0.0,N/A
"Reports: @MBuhari Set To Travel To UK For Medical Reasons
https://t.co/hHpCIauzul",West Central Africa,0.30000001192092896,N/A
"@lindaikeji Garba Shehu has just announced that Buhari is heading to London tomorrow to have a “meeting” with his Doctors.
Me: The President is sick and has not been physically fit to perform his duties as President. A real man of integrity would have resigned!",Not Available,0.0,N/A
Buhari be making good use of his Tourist Visa.,London,0.0,N/A
Buhari sounds like a 200 Level Babe deceiving her parents so she can spend the weekend at 1k4 and Quilox https://t.co/rFOdjkTAO3,Hawaii,-0.6000000238418579,N/A
"When Femi Falana said Jonathan recovered looted funds without making noise, it seemed like he was just prattling. Facts don't lie. But the Buhari govt came along &amp; waxed a complete album with ""looted funds"". The decibel levels were so high it could pass for our national anthem. https://t.co/bgOr8v8DNw",Not Available,0.0,N/A
Buhari leaves for London Tuesday on 4-day medical visit https://t.co/luG3WyiRyv https://t.co/LeSd5ddOjC,West Central Africa,0.10000000149011612,N/A
"@doublecoast @originalpato @henryshield @realmkoabiodun1 @ProfOsinbajo Isn't that why GEJ was removed?Boko haram n stuff...now that there has been EVEN more killings under PMB,shudnt he be removed?U talk about the killings starting years b4 Buhari,yet same Buhari is blaming Gaddafi's death n spread of arms...look,point is,he's in power Part1",Not Available,-0.6000000238418579,N/A
This is what #SouthAfricans said about #Buhari after his meeting with #Trump in #Washington DC,Not Available,0.0,N/A
"A Dr. from England “summoned” @MBuhari and he’s on his way.

But when @nassnigeria summoned same Buhari, the man formed deaf &amp; dumb...",Not Available,0.0,N/A
"They ""summoned"" Buhari but appeared before him

LEVELS https://t.co/BzLKUg1m1I",Not Available,0.0,N/A
"President @realDonaldTrump is a shrewd businessman, a fierce negotiator, a brutal deal breaker and a believer in the American Dream. 

Pres. Buhari is the direct opposite of that. Why on earth would Nigeria send a man like Pres. @MBuhari to go into negotiation with Trump?",Not Available,0.0,N/A
So today that Saraki met Buhari to discuss Dino the judiciary decided to show their independence by adjoining his bail hearing until thursday when most of us know he will go home surebanker.,Not Available,0.10000000149011612,N/A
Buhari sounds like a 200 Level Babe deceiving her parents so she can spend the weekend at 1k4 and Quilox https://t.co/rFOdjkTAO3,Africa/Lagos,-0.6000000238418579,N/A
"Herdsmen that killed 2 Catholic priests &amp; congregants in Benue State took the choir robes &amp; musical instruments then recorded a video of themselves singing &amp; dancing.

And some people are saying Buhari deserves 2nd term. NEVER AGAIN https://t.co/usyDEhCyzh",West Central Africa,-0.10000000149011612,N/A
"Priority Highway Projects, and their status of completion, in all the geopolitical zones of the country being carried out by the President Buhari administration.

South-West Zone: https://t.co/te6IXDsLSU",Central Time (US & Canada),0.0,N/A
"At least 40 people killed in Birnin Gwari in Kaduna state. But Kaduna Governor El Rufai is busy inciting violence against his senators.

Buhari is busy saying Herdsmen don’t carry weapons. APC is busy lying their way to 2019. 

Will there even be a Nigeria then? Let us continue.. https://t.co/XkB9CiLG9P",Not Available,0.0,N/A
Buhari is not well. He is on his way to hospital tomorrow. Leave him alone https://t.co/B8mAxSt9G9,Not Available,0.0,N/A
"People are saying get your PVC, get your PVC, when you are left with Atiku (PDP) and Buhari (APC) as your option. You better get a visa instead!!",Not Available,-0.10000000149011612,N/A
"When Buhari arrived UK from Washington DC, this is how he was welcomed. Watch👇 https://t.co/asdvEQlLQu",Not Available,0.0,N/A
BREAKING: Buhari off to London to see his Doctor https://t.co/4gm1FJSH5c https://t.co/JUEhggliIm,Amsterdam,0.0,N/A
Hundreds are dieing in the Middle belt and Northern Nigerian but Buhari is going to UK over a swollen gum.@OgbeniDipo @VanJyde @DrJoeAbah,Pacific Time (US & Canada),-0.4000000059604645,N/A
You get the feeling lowkey Buhari ran for president to be able to travel,Not Available,0.699999988079071,N/A
President Buhari Travels to London for Medical Checkup https://t.co/t6GL8YE9I4 https://t.co/2u8kItgBJF,Not Available,0.0,N/A
"BREAKING: Death toll in Birnin Gwari attack now 47. 

Our country is going down under Buhari. Innocent people are killed daily.",Not Available,0.0,N/A
https://t.co/v9KPXOFbRK https://t.co/eurptVh9Zi,Dublin,0.0,N/A
"Blame those that rigged Buhari into @AsoRock! They abused SE/SS for not voting #TyrantBuhari,they said 'we gathered all our eggs in one basket' they supported #TyrantBuhari when he said ''97% VS 5%,they supported @HQNigerianArmy killing unarmed #Biafrans #Shiites. #WICKEDFOLKS👿 https://t.co/p0QlKh3sTm",Not Available,-0.20000000298023224,N/A
"Rural Nigeria is battered by Boko Haram terrorism, battles between herders and farmers, and bandit gangs. Officials say bandits killed 45 in a village on Saturday https://t.co/z7IXYdGUgf",Greenland,-0.4000000059604645,N/A
"N88 Billion misappropriated under Jonathan can fund NPOWER for one year - Osinbanjo

The N1.4 Trillion unappropriated fund spent by Buhari/Osinbanjo on subsidy in 2017 can fund  CAPEX for one year",Not Available,0.0,N/A
Buhari with his ‘vast’ military experience has woefully failed to protect the country as promised and expected of him. Too many lives lost and he doesn’t seem interested. That’s enough to vote him out of office.,Not Available,-0.5,N/A
BUHARI is  a scammer https://t.co/Xp83GyEcx1,Not Available,-0.6000000238418579,N/A
"Buhari can travel out for medical care. His son can travel out too.

I am not saying anything o, but I know some will get the message.

I don’t want to talk too much and disappoint my people. I promised to be of good behaviour 🙂🙂",Pacific Time (US & Canada),0.30000001192092896,N/A
Because Buhari is still your president https://t.co/egYxAzRYzr,Not Available,0.0,N/A
"BREAKING: President Buhari is off to London for a four-day medical trip starting Tuesday.
#TheTelegraphNG https://t.co/kC7t4yrygi",West Central Africa,0.0,N/A
"Buhari is corrupt!
Rt if you support this tweet!",Not Available,-0.30000001192092896,N/A
"Buhari already has his next condolence message for the next attack typed: 

The president condemns the gruesome murder of Nigerians in blah blah blah. The president has directed blah blah blah. 

NEVER AGAIN",West Central Africa,-0.10000000149011612,N/A
Don't know what we did to deserve a President like Buhari,London,-0.30000001192092896,N/A
"First it was @MobilePunch that ran the ridiculous article about Buhari using Jonathan's old cars. Now, the Cable has joined in trying to repaint this disastrous administration. Obviously, the APC has had a secret meeting with Heads of Media organizations in Nigeria. We watch!",Not Available,-0.30000001192092896,N/A
"Please don't ask me this question, ""where are the credible candidates""?

I consider it to be a silly question, na the same eye we get.

Now if you want to go ahead &amp; vote for Buhari, do so. 

Stop asking me silly questions.",West Central Africa,-0.20000000298023224,N/A
"Buhari can travel out for medical care. His son can travel out too.

I am not saying anything o, but I know some will get the message.

I don’t want to talk too much and disappoint my people. I promised to be of good behaviour 🙂🙂",Not Available,0.30000001192092896,N/A
"I was saying it on ChannelsTV that Buhari went to see his doctors in the name of Commonwealth conference, they said I was lying. They even queried ChannelTV that they allowed me on their platform. 

See now",Not Available,0.0,N/A
"Buhari was braging while on visit to america that he has done well in the area of security, i think the international community should listen to this piece from the senate!!!! https://t.co/M3FdkJJ1Ex",Not Available,0.10000000149011612,N/A
"~Catholic church has asked Buhari to go.
~CAN has spoken up against Buhari's Govt. 
~Bishop Oyedepo has been consistent in calling out PMB's Govt.

Pastor Adeboye is a very powerful Christian voice in Nigeria, but I think he's been too diplomatic bcos his 'spiritual Son' is VP",Not Available,0.10000000149011612,N/A
"Nigeria’s President Muhammadu Buhari who indicated interest in seeking for re-election in 2019 will be embarking on a medical trip to UK on Tuesday, Presidency says.",Not Available,0.0,N/A
This is what South Africans said about Buhari after his meeting with Trump in Washington DC https://t.co/q1HlAJuvs8,Amsterdam,0.0,N/A
Why Buhari’s govt is yet to end killings in Nigeria – Shehu Sani https://t.co/mJxpJ5bW0d https://t.co/FtfypcN21d,West Central Africa,-0.10000000149011612,N/A
"Buhari is corrupt!
Rt if you support this tweet!",Not Available,-0.30000001192092896,N/A
President Buhari is back on Europe tour. Lmao,West Central Africa,0.10000000149011612,N/A
President Buhari is back on Europe tour. Lmao,West Central Africa,0.10000000149011612,N/A
"N88 Billion misappropriated under Jonathan can fund NPOWER for one year - Osinbanjo

The N1.4 Trillion unappropriated fund spent by Buhari/Osinbanjo on subsidy in 2017 can fund  CAPEX for one year",Not Available,0.0,N/A
"Retweeted D'Youngest Elder (@IamJioke1):

When an incompetent president who is yet to effectively discharge his duties as GCFR went and combined it with petroleum minister. We are doomed with Buhari as president. https://t.co/gWYDjV3jmI",West Central Africa,-0.20000000298023224,N/A
"The level of Corruption under Buhari is in Top 4 position, and has booked a place in the Champions League. https://t.co/sRXXQU0In4",Not Available,0.0,N/A
#BIAFRA will be restored before Buhari's 2nd term!! https://t.co/F88Wgvz0Wx,Not Available,0.10000000149011612,N/A
President Buhari approves new security measures to tackle Kaduna killings https://t.co/wgNXoNzudo via @armadapost,Pacific Time (US & Canada),0.6000000238418579,N/A
"BREAKING: PRESIDENT BUHARI TO TRAVEL TO UK TO SEE DOCTOR 
https://t.co/o4UosuVoZu https://t.co/o4UosuVoZu",Not Available,0.10000000149011612,N/A
BREAKING: Buhari off to London for medicals – Presidency https://t.co/ELTlwygAKC https://t.co/v3oSyxHygs,Pacific Time (US & Canada),0.0,N/A
BREAKING: Buhari off to London for medicals – Presidency https://t.co/ELTlwygAKC https://t.co/v3oSyxHygs,Pacific Time (US & Canada),0.0,N/A
"Retweeted Radio Biafra (@radiobiafralive):

4/7 @realDonaldTrump @WhiteHouse

Do not be deceived, #Dictator #Buhari of #Nigeria sympathises #FulaniHerdmen and #BokoHaram #terrorist groups.... https://t.co/9jW6NgZgXd",Not Available,0.0,N/A
Buhari never cease to amaze me.. https://t.co/HIUXulDfJN,Hawaii,0.8999999761581421,N/A
"ENERGISING MARKET. 
♨️ The Buhari led government is always coming up with one idea or the other that would benefit the ordinary man. 

♨️ This time, as part of the plan to energise the economy  it has come up with a... https://t.co/GJAPaG6rew",Not Available,0.0,N/A
"President Buhari @MBuhari will travel to London tomorrow to meet with his doctor. He met with @bukolasaraki and @YakubDogara over issues of his US trip,Budget,Senate invasion and Dino Melaye’s case and the Police. President expected to return to Nigeria on Saturday",Not Available,0.0,N/A
"Herdsmen that killed 2 Catholic priests &amp; congregants in Benue State took the choir robes &amp; musical instruments then recorded a video of themselves singing &amp; dancing.

And some people are saying Buhari deserves 2nd term. NEVER AGAIN https://t.co/usyDEhCyzh",Not Available,-0.10000000149011612,N/A
"""@Amore_Luke: This image is false. Buhari is not this young.  @Gidi_Traffic https://t.co/FZc3wD8IY7",Not Available,-0.10000000149011612,N/A
"Like for Davido
Rt for Buhari https://t.co/1tvh6bJoxJ",Amsterdam,0.30000001192092896,N/A
Why Buhari’s govt is yet to end killings in Nigeria – Shehu Sani https://t.co/qtk0aEH9NB https://t.co/kK10h9JtCN,West Central Africa,-0.10000000149011612,N/A
"Buhari: TSA existed only as idea under #Jonathan

https://t.co/Z4q6t8DfoN https://t.co/umIiz4SXiB",Not Available,0.0,N/A
"Buhari is corrupt!
Rt if you support this tweet!",Not Available,-0.30000001192092896,N/A
"@APROKOGIRL President @MBuhari has approved the establishment of a new Battalion of the Nigerian Army, as well as a new Police Area Command, in Birnin Gwari Local Government... https://t.co/2QgpLnU9f6",Amsterdam,0.0,N/A
"When Femi Falana said Jonathan recovered looted funds without making noise, it seemed like he was just prattling. Facts don't lie. But the Buhari govt came along &amp; waxed a complete album with ""looted funds"". The decibel levels were so high it could pass for our national anthem. https://t.co/bgOr8v8DNw",Arizona,0.0,N/A
"i know someone that could swear buhari was Jesus resurrected... long story short, she relocated with her family now... shes supporting the messiah from abroad. womans gone international",Hawaii,0.0,N/A
"i know someone that could swear buhari was Jesus resurrected... long story short, she relocated with her family now... shes supporting the messiah from abroad. womans gone international",Hawaii,0.0,N/A
Nigeria is going down before our very eyes. And they say Buhari deserves 2nd term.,Not Available,0.10000000149011612,N/A
"Over 7,300 Nigerians have entered Canada illegally, seeking asylum between January-April 2018. They cross by foot thru the forest trail from NY to Quebec. Canadian Immigration Minister is already fuming and planning to land in Nigeria to seek a stop.
Morons say Buhari is working",Not Available,-0.4000000059604645,N/A
"Technical stop-over......meeting with doctor........

As if the doctor was strolling in Heathrow airport and bumped into Buhari.

Instead of admitting that he diverted to see his doctors, they're still lying. https://t.co/aIWrAtK8va",Not Available,-0.20000000298023224,N/A
Sometimes this twitter is annoying. See what Nigeria has turn to. How I wish those who make this mistake can turn the hands of time back and get it right. What??????  Buhari is technically ill and will technically leave for UK tomorrow to see his technical doctor. God dey.,West Central Africa,0.0,N/A
Sometimes this twitter is annoying. See what Nigeria has turn to. How I wish those who make this mistake can turn the hands of time back and get it right. What??????  Buhari is technically ill and will technically leave for UK tomorrow to see his technical doctor. God dey.,West Central Africa,0.0,N/A
"Nigeria’s President Muhammadu Buhari who indicated interest in seeking for re-election in 2019 will be embarking on a medical trip to UK on Tuesday, Presidency says.",Not Available,0.0,N/A
45 Killed in Nigerian Village as Mass Killings Increase https://t.co/4CFMWYaVDi https://t.co/jts99IiRp8,Not Available,0.10000000149011612,N/A
"BREAKING: Buhari To Spend Four Days In The UK With His Doctor | Sahara Reporters @MBuhari @NGRPresident @GarShehu @UnitedKingdomEU 
READ MORE:  https://t.co/hkBR3MaKBP https://t.co/FHlWszSVIp",West Central Africa,0.0,N/A
Nigeria's president Buhari says to travel to Britain to see doctor https://t.co/vQeYOYCVDU https://t.co/Qdpj9DSluW,Not Available,0.0,N/A
"A Dr. from England “summoned” @MBuhari and he’s on his way.

But when @nassnigeria summoned same Buhari, the man formed deaf &amp; dumb...",Not Available,0.0,N/A
"A Dr. from England “summoned” @MBuhari and he’s on his way.

But when @nassnigeria summoned same Buhari, the man formed deaf &amp; dumb...",Not Available,0.0,N/A
"@ProfOsinbajo God bless President Muhammadu Buhari and APC, God bless Nigeria",Not Available,0.699999988079071,N/A
"N88 Billion misappropriated under Jonathan can fund NPOWER for one year - Osinbanjo

The N1.4 Trillion unappropriated fund spent by Buhari/Osinbanjo on subsidy in 2017 can fund  CAPEX for one year",Amsterdam,0.0,N/A
BIAFRA: TRUMP'S MEETING WITH BUHARI AND THE ECHOES OF DISINTEGRATION https://t.co/xSOoNJTC2i https://t.co/NSRAWz6KYm,Not Available,0.0,N/A
"""I can tell you that the general opinion of Nigerians is that Buhari has not done well."" - Cardinal Okogie

Why is this news...Buhari did not do well in 1983..We told you that Buhari will not do well in 2015...

Buhari CAN NEVER DO WELL!

This is a FACT",Not Available,-0.10000000149011612,"['Buhari', 'Nigerians', 'Cardinal Okogie']"
"President Buhari just loves flying around.
If he truly wants Nigeria to grow, His doctor should fly down here instead, whatever equipments and knowledge he has should be brought down to a hospital here to improve our health care system. 
Mr. President think Nigeria, grow Nigeria",Not Available,0.5,"['Buhari', 'President', 'Nigeria', 'doctor', 'hospital']"
"Buhari is corrupt!
Rt if you support this tweet!",Not Available,-0.30000001192092896,['Buhari']
This is what South Africans said about Buhari after his meeting with Trump in Washington DC https://t.co/q1HlAJuvs8,Not Available,0.0,"['Buhari', 'meeting', 'South Africans', 'Trump']"
Nigeria's president Buhari says to travel to Britain to see doctor https://t.co/vQeYOYCVDU https://t.co/Qdpj9DSluW,Amsterdam,0.0,"['Buhari', 'Nigeria', 'doctor', 'Britain']"
@NigeriaNewsdesk @todayng But the same police failed to arrest el-rufia such lack of piety in this Buhari and APC government,Amsterdam,-0.6000000238418579,"['police', 'Buhari']"
Breaking: Buhari On A Four-Day U.K Trip To See His Doctor https://t.co/J3k2cdOI6b,West Central Africa,0.4000000059604645,['Breaking']
"Farewell in advance to President Buhari as he visits his doctor on the Doctors request... Meaning Buhari is hale and healthy, but only wants to see the Dr. Klap for yasef
You just want to remain in power so that the country will be taking care of U 
@owolabitaiwo @segalink",Pacific Time (US & Canada),-0.20000000298023224,"['Buhari', 'doctor', 'Doctors', 'Klap', 'country', 'yasef', 'U @owolabitaiwo']"
Nigeria's president Buhari says to travel to Britain to see doctor https://t.co/vQeYOYCVDU https://t.co/Qdpj9DSluW,Not Available,0.0,"['Buhari', 'Nigeria', 'doctor', 'Britain']"
45 Killed in Nigerian Village as Mass Killings Increase https://t.co/eSLXXhaRza https://t.co/a3CJpfmKQm,Caracas,0.10000000149011612,"['Nigerian Village', 'Mass Killings']"
"Burnt alive #Barbarism of #frenchCameroon in #Ambazonia

@UNHumanRights @UN @ProfMutharika @ForeignMalawi @aguribfakim @EUAmbMauritius @FNyusi @FilipeNyusi @hagegeingob  @hagegeingobfan  @NamPresidency @UNNamibia @Plaid_Buhari @MBuhari @GeoffreyOnyeama @PaulKagame @Plaid_Kagame https://t.co/Z3PM5piBdv",Not Available,-0.20000000298023224,"['Ambazonia', '@UNHumanRights', '@ProfMutharika @ForeignMalawi @aguribfakim', '@EUAmbMauritius @FNyusi', '@UN', '@FilipeNyusi', '@hagegeingob', '@hagegeingobfan']"
Aisha Buhari Applauds Kemi Adeosun For Joining APC https://t.co/UuGqDTrJxZ,Not Available,0.0,['Aisha Buhari Applauds Kemi Adeosun']
"Buhari was aware of his health condition even b4 he became President. THREE YEARS as President and he's been unable to atleast upgrade Aso rock clinic with equipments &amp; personnel needed to manage his ailment?
Buhari is also a victim of his own incompetence.",Not Available,-0.4000000059604645,"['Buhari', 'rock clinic', 'President', 'President', 'Aso', 'personnel']"
THE APC KILLING NIGERIA DEMOCRACY Weak System and the battle  of who is who under Buhari government as Inspector General of Nigeria Police again ignore Nigerian Senate  to honor Elrufai invitation https://t.co/yTi7edVqHC,Not Available,-0.8999999761581421,"['battle', 'Inspector General', 'Buhari', 'Nigerian']"
"C. SAD @USEmbassyAbuja did not inform @WhiteHouse that #Jihadist #Buhari of #Nigeria killed many #IPOB Activists at Igweocha (Port Harcourt) for celebrating @realDonaldTrump inauguration.

@POTUS  CAN  #StopBiafraKillings #Biafra
@Amaka_Ekwo @ckorie17

https://t.co/wf4U36Fl1U",Not Available,0.0,"['@WhiteHouse', '#Jihadist #Buhari', 'IPOB Activists', 'Nigeria', 'Port Harcourt', '@ckorie17']"
"PICTURES: This afternoon, the President of the Senate, Dr. Abubakar Bukola Saraki and the Speaker of the House of Representatives, Rt. Hon. Yakubu Dogara, met with President Muhammadu Buhari at the Aso Villa. https://t.co/W4zWMPfj5j",Not Available,0.0,"['Abubakar Bukola Saraki', 'President', 'Speaker', 'Muhammadu Buhari', 'Aso Villa', 'Yakubu Dogara']"
"Concerns over President Buhari’s latest medical trip to London
https://t.co/ueuXMlQ8ZI",Not Available,0.0,"['Buhari', 'trip']"
Buhari sounds like a 200 Level Babe deceiving her parents so she can spend the weekend at 1k4 and Quilox https://t.co/rFOdjkTAO3,Bratislava,-0.6000000238418579,"['Buhari', 'parents', 'Babe']"
President Buhari To Embark On Medical Trip To UK Tuesday https://t.co/JArOgwuU5a https://t.co/4tipVhZ8FS https://t.co/FeFv6i512q,London,0.0,['President']
@MBuhari We must vote this Buhari government out for the simple reason that they do not have any atom of respect for human life.,Not Available,-0.10000000149011612,['Buhari']
@daily_trust @OfficialPDPNig @OfficialAPCNg We must vote this Buhari government out for the simple reason that they do not have any atom of respect for human life.,Not Available,-0.20000000298023224,"['@daily_trust', 'Buhari']"
"@2ootalk @Lovely_26360 @LarryFash47 @TamunoSteve @MBuhari ""If PDP get d Health sector right for 16 years of governance, Buhari won't need Traveling Abroad for Medical treatment.""

""If APC build world class hospitals, do you expect inexperienced doctors to manage it...""

Now see the confusion on his face 👇 https://t.co/HmaS5FO1ef",Not Available,0.0,"['@2ootalk', 'Buhari', 'doctors']"
President Buhari To Embark On Medical Trip To UK https://t.co/ZbFiqCpoCp https://t.co/6RVRFtwNfT,Not Available,0.0,['President']
"BREAKING: Again, President Buhari to go on medical trip to the UK https://t.co/vYxLngiFb8 https://t.co/IKkJxRXGLU",Pacific Time (US & Canada),0.0,"['Buhari', 'BREAKING', 'trip', 'UK']"
@BeatriceOla2 No wonder Buhari is yabbing us...Smh...So posing now is exclusively purchased to finessé..Oga o,Not Available,-0.8999999761581421,['Buhari']
"People are saying get your PVC, get your PVC, when you are left with Atiku (PDP) and Buhari (APC) as your option. You better get a visa instead!!",Not Available,-0.10000000149011612,"['People', 'Atiku', 'Buhari']"
"Buhari can travel out for medical care. His son can travel out too.

I am not saying anything o, but I know some will get the message.

I don’t want to talk too much and disappoint my people. I promised to be of good behaviour 🙂🙂",Not Available,0.30000001192092896,"['Buhari', 'son', 'some', 'people']"
"@CallMe_Khaled @BrianJDennis @Oyiin_Bee I love that part. I'm a South African but I also love the ""Buhari is still the president""... I just died net daar 😂😂😂😁🙌 https://t.co/Y6x0ihClj0",Not Available,0.699999988079071,"['@CallMe_Khaled', 'Buhari', 'South African', '😂😂😂😁🙌 https://t.co/Y6x0ihClj0']"
Nigeria is going down before our very eyes. And they say Buhari deserves 2nd term.,Not Available,0.10000000149011612,['Buhari']
"When Femi Falana said Jonathan recovered looted funds without making noise, it seemed like he was just prattling. Facts don't lie. But the Buhari govt came along &amp; waxed a complete album with ""looted funds"". The decibel levels were so high it could pass for our national anthem. https://t.co/bgOr8v8DNw",Not Available,0.0,"['Femi Falana', 'Jonathan', 'govt', '&amp', 'Buhari']"
"@Kp_Oshotee @owolabitaiwo @segalink Exactly. He can still enjoy free medicals abroad as an ex-president  But holding us down while enjoying every benefit is multi-layer wickedness!

Can't fathom while young men amd women with sound educational background would still be supporting this disaster called Buhari",Not Available,0.10000000149011612,"['@owolabitaiwo', '@Kp_Oshotee', 'ex-president', 'disaster', 'Buhari', 'men', 'women']"
"11. @realDonaldTrump @PressSec #IPOB wish to inform that on SEP 14, 2017 #Dictator #Jihadist #Buhari’s army invaded home of #IPOB leader, killed many IPOB Activists and  #NnamdiKanu is missing.

#WhereIsNnamdikanu #Biafra

@nnamdikanu1 @mefonna @Amaka_Ekwo
https://t.co/sqHzpUTj8m https://t.co/pFsusCSKaM",Pacific Time (US & Canada),0.0,"['home', 'leader', 'Jihadist #Buhari', 'Dictator', '@nnamdikanu1', '@Amaka_Ekwo https://t.co/sqHzpUTj8m https://t.co/pFsusCSKaM', 'IPOB Activists']"
"Buhari was aware of his health condition even b4 he became President. THREE YEARS as President and he's been unable to atleast upgrade Aso rock clinic with equipments &amp; personnel needed to manage his ailment?
Buhari is also a victim of his own incompetence.",Not Available,-0.4000000059604645,"['Buhari', 'rock clinic', 'President', 'President', 'Aso', 'personnel']"
"Please don't ask me this question, ""where are the credible candidates""?

I consider it to be a silly question, na the same eye we get.

Now if you want to go ahead &amp; vote for Buhari, do so. 

Stop asking me silly questions.",Not Available,-0.20000000298023224,"['candidates', 'Buhari']"
"Farewell in advance to President Buhari as he visits his doctor on the Doctors request... Meaning Buhari is hale and healthy, but only wants to see the Dr. Klap for yasef
You just want to remain in power so that the country will be taking care of U 
@owolabitaiwo @segalink",Not Available,-0.20000000298023224,"['Buhari', 'doctor', 'Doctors', 'Klap', 'country', 'yasef', 'U @owolabitaiwo']"
"While Garba Shehu is signing a future Press Statement for Buhari's trip tomorrow, dating it May 17, 2018, Tinubu is somewhere happy as he is banking on a possibility of Buhari, if he wins in 2019, not able to complete his tenure so he can have his lacky, former Pastor Osy as Pres",Not Available,0.20000000298023224,"['Tinubu', 'Garba Shehu', 'trip', 'Buhari', 'Osy', 'somewhere', 'Pres']"
"They ""summoned"" Buhari but appeared before him

LEVELS https://t.co/BzLKUg1m1I",Not Available,0.0,['Buhari']
Nigeria's president Buhari says to travel to Britain to see doctor https://t.co/vQeYOYCVDU https://t.co/Qdpj9DSluW,Brisbane,0.0,"['Buhari', 'Nigeria', 'doctor', 'Britain']"
Buhari is a UK resident who works offshore in Nigeria. https://t.co/HpaxHlG1OF,Not Available,0.0,"['Buhari', 'UK', 'Nigeria']"
